date,yr,source,variety,varietyII,Location,County,Comments,loc_full,lon,lat
6/19/2007,2007,Crop,British Queen,NA,"Kilnacolpagh, Ballymena",Antrim,NA,"Kilnacolpagh, Ballymena, Antrim, UK",-6.058034,54.911313
6/20/2007,2007,Crop,British Queen,NA,"Tullymore, Ballymena",Antrim,NA,"Tullymore, Ballymena, Antrim, UK",-6.197517,54.9077767
6/21/2007,2007,Crop,Kerrs Pink,NA,"Campsie, Eglinton",Derry,NA,"Campsie, Eglinton, Derry, UK",-7.17831,55.02679
6/25/2007,2007,Crop,Kerrs Pink,NA,"Liscloon, Donamana",Tyrone,NA,"Liscloon, Donamana, Tyrone, UK",-7.3132207,54.8736289
6/25/2007,2007,Crop,NA,NA,"Carricklee, Strabane",Tyrone,NA,"Carricklee, Strabane, Tyrone, UK",-7.4950122,54.8131732
6/26/2007,2007,Crop,Maris Piper,NA,"Feeny road, Moira",Down,NA,"Feeny road, Moira, Down, UK",-7.0212563,54.8920685
6/27/2007,2007,Crop,Sharpes Express,NA,Ballymena,Antrim,NA,"Ballymena, Antrim, UK",-6.2072498,54.7195338
6/27/2007,2007,Crop,British Queen,NA,Larne,Antrim,NA,"Larne, Antrim, UK",-5.8236224,54.8578003
6/27/2007,2007,Crop,Desiree & Nicola,NA,Ardglass,Down,NA,"Ardglass, Down, UK",-5.6108327,54.2633033
6/28/2007,2007,Crop,NA,NA,Castlewellan,Down,NA,"Castlewellan, Down, UK",-5.9418219,54.2579967
6/28/2007,2007,Crop,Desiree,NA,Ballykilbeg,Down,NA,"Ballykilbeg, Down, UK",-5.7687822,54.2947953
7/2/2007,2007,Crop,Kerrs Pink,NA,Maghera,Derry,NA,"Maghera, Derry, UK",-6.6733816,54.844535
7/2/2007,2007,Crop,NA,NA,Rathfriland,Down,NA,"Rathfriland, Down, UK",-6.1611478,54.2381042
7/3/2007,2007,Crop,Lady Claire,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/3/2007,2007,Crop,Kerrs Pink,NA,"Clough, Downpatrick",Down,NA,"Clough, Downpatrick, Down, UK",-5.83734,54.2912
7/3/2007,2007,Crop,Desiree,NA,Ballykelly,Derry,NA,"Ballykelly, Derry, UK",-7.02036,55.04432
7/4/2007,2007,Crop,Kerrs Pink,NA,Castlederg,Tyrone,NA,"Castlederg, Tyrone, UK",-7.5936714,54.7097899
7/5/2007,2007,Crop,Lady Claire,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/5/2007,2007,Crop,Dunbar Standard,NA,Ballyclare,Antrim,NA,"Ballyclare, Antrim, UK",-6.0015221,54.7529144
7/9/2007,2007,Crop,Golden Wonder,NA,Ballyclare,Antrim,NA,"Ballyclare, Antrim, UK",-6.0015221,54.7529144
7/9/2007,2007,Crop,Pentland Ivory,NA,Garvagh,Derry,NA,"Garvagh, Derry, UK",-6.687553,54.9833305
7/10/2007,2007,Crop,Kerrs Pink,NA,Cookstown,Tyrone,NA,"Cookstown, Tyrone, UK",-6.7443895,54.6418158
7/16/2007,2007,Crop,British Queen,NA,Cloughmills,Antrim,NA,"Cloughmills, Antrim, UK",-6.3325399,54.99904
7/16/2007,2007,Crop,Dundrod,NA,Ballymena,Antrim,NA,"Ballymena, Antrim, UK",-6.2072498,54.7195338
7/16/2007,2007,Crop,Kerrs Pink,NA,Randalstown,Antrim,NA,"Randalstown, Antrim, UK",-6.320274,54.7500518
7/16/2007,2007,Crop,Dunbar Standard,NA,Cloughmills,Antrim,NA,"Cloughmills, Antrim, UK",-6.3325399,54.99904
7/18/2007,2007,Crop,Maris Piper,NA,Downpatrick,Down,NA,"Downpatrick, Down, UK",-5.7156922,54.3287514
7/18/2007,2007,Crop,Marfona,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/18/2007,2007,Crop,Lady Claire,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/18/2007,2007,Crop,Saxon,NA,Ardglass,Down,NA,"Ardglass, Down, UK",-5.6108327,54.2633033
7/18/2007,2007,Crop,Maris Piper,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/18/2007,2007,Crop,Nicola,NA,Cullybackey,Antrim,NA,"Cullybackey, Antrim, UK",-6.2072498,54.7195338
7/18/2007,2007,Crop,Maris Piper,NA,Magheralin,Down,NA,"Magheralin, Down, UK",-6.26073,54.46577
7/19/2007,2007,Crop,Sante,NA,Ballyhornan,Down,NA,"Ballyhornan, Down, UK",-5.55944,54.3021
7/23/2007,2007,Garden,Pentland Javelin,NA,Bangor,Down,NA,"Bangor, Down, UK",-5.6730648,54.6541971
7/23/2007,2007,Crop,Pentland Squire,NA,"Ballyrock, Bushmills",Antrim,NA,"Ballyrock, Bushmills, Antrim, UK",-6.5469988,55.1615002
7/24/2007,2007,Crop,British Queen,NA,Ballylagan,Antrim,NA,"Ballylagan, Antrim, UK",-5.922197,54.758775
7/24/2007,2007,Crop,Navan,NA,"Magherabeg Rd, Dromore",Down,NA,"Magherabeg Rd, Dromore, Down, UK",-6.150869,54.4324363
7/24/2007,2007,Crop,Kerrs Pink,NA,Bushmills,Antrim,NA,"Bushmills, Antrim, UK",-6.5172267,55.2028537
7/25/2007,2007,Garden,NA,NA,Newtownabbey,Antrim,NA,"Newtownabbey, Antrim, UK",-5.9249199,54.6778816
7/26/2007,2007,Garden,NA,NA,"Ballyhaft Rd, Newtownards",Down,NA,"Ballyhaft Rd, Newtownards, Down, UK",-5.6341967,54.5750142
7/26/2007,2007,Crop,Dundrod,NA,"Clough, Ballymena",Antrim,NA,"Clough, Ballymena, Antrim, UK",-6.28916,54.96622
7/30/2007,2007,Crop,Dunbar Standard,NA,Portrush,Antrim,NA,"Portrush, Antrim, UK",-6.6526708,55.2041945
7/31/2007,2007,Crop,Milagro,NA,"Belmont Park, Belfast",Down,NA,"Belmont Park, Belfast, Down, UK",-5.8528016,54.6052291
7/31/2007,2007,Crop,Pink Fir Apple,NA,"Belmont Park, Belfast",Down,NA,"Belmont Park, Belfast, Down, UK",-5.8528016,54.6052291
8/7/2007,2007,Crop,NA,NA,Jordanstown,Antrim,NA,"Jordanstown, Antrim, UK",-6.2072498,54.7195338
7/2/2008,2008,Crop,Home Guard,NA,Clough,Antrim,5 isolated plants.,"Clough, Antrim, UK",-6.28916,54.96622
